Time,Open,High,Low,Close,Volume
2017.05.12,0.73771,0.74201,0.73664,0.73835,63462
2017.05.15,0.739,0.74449,0.73839,0.74109,62719
2017.05.16,0.74103,0.74371,0.73943,0.74247,64578
2017.05.17,0.74246,0.74427,0.73899,0.74292,68853
2017.05.18,0.74291,0.74658,0.74075,0.74163,83006
2017.05.19,0.7416,0.74686,0.74056,0.74561,65658
2017.05.22,0.74508,0.74879,0.74343,0.74736,60526
2017.05.23,0.74737,0.75164,0.74654,0.74742,66639
2017.05.24,0.74745,0.75068,0.74418,0.75006,67221
2017.05.25,0.75006,0.75151,0.745,0.74518,65178
2017.05.26,0.74519,0.74603,0.74212,0.74438,63662
2017.05.29,0.74371,0.74496,0.74261,0.74366,72310
2017.05.30,0.74363,0.74686,0.74154,0.74636,68870
2017.05.31,0.74636,0.74749,0.74239,0.74289,63053
2017.06.01,0.74276,0.74537,0.73715,0.73717,63712
2017.06.02,0.73716,0.74456,0.7371,0.74392,58091
2017.06.05,0.74228,0.74976,0.74215,0.7484,55840
2017.06.06,0.74839,0.75214,0.74565,0.75048,67083
2017.06.07,0.75048,0.75659,0.7499,0.75471,61116
2017.06.08,0.7546,0.75536,0.75242,0.75454,57144
2017.06.09,0.7545,0.75452,0.75187,0.75273,61805
2017.06.12,0.75295,0.75463,0.75209,0.75395,49657
2017.06.13,0.75397,0.7564,0.75236,0.75362,53321
2017.06.14,0.75361,0.76334,0.75317,0.75874,64473
2017.06.15,0.75853,0.76309,0.75675,0.75773,68092
2017.06.16,0.75771,0.76292,0.75752,0.76168,62771
2017.06.19,0.76162,0.76284,0.75843,0.75945,55281
2017.06.20,0.75946,0.76229,0.75699,0.75782,59397
2017.06.21,0.75784,0.75848,0.75423,0.75488,59793
2017.06.22,0.75485,0.75703,0.75347,0.75394,58431
2017.06.23,0.75394,0.75802,0.75373,0.75648,50705
2017.06.26,0.75593,0.75985,0.75593,0.75836,55211
2017.06.27,0.75834,0.76237,0.75763,0.75809,62056
2017.06.28,0.75811,0.76442,0.75763,0.76374,62754
2017.06.29,0.76372,0.76855,0.76342,0.76817,59544
2017.06.30,0.76818,0.77115,0.76674,0.76854,67145
2017.07.03,0.76814,0.76946,0.76438,0.76583,60143
2017.07.04,0.76583,0.76818,0.75904,0.76014,80398
2017.07.05,0.76014,0.76313,0.75721,0.76014,56084
2017.07.06,0.76014,0.7614,0.75763,0.75827,52626
2017.07.07,0.75826,0.76215,0.75715,0.76012,59778
2017.07.10,0.7599,0.76139,0.75858,0.76046,47906
2017.07.11,0.76051,0.76418,0.76022,0.76345,55816
2017.07.12,0.76344,0.76826,0.76332,0.76754,55920
2017.07.13,0.76753,0.77391,0.7673,0.77283,53107
2017.07.14,0.77282,0.78331,0.77243,0.78274,60740
2017.07.17,0.78249,0.78378,0.77914,0.77951,65696
2017.07.18,0.77952,0.79422,0.77855,0.7915,77761
2017.07.19,0.79149,0.79583,0.79084,0.795,68453
2017.07.20,0.79499,0.79881,0.78967,0.7957,64578
2017.07.21,0.7957,0.79587,0.78743,0.79117,68686
2017.07.24,0.79032,0.79666,0.79025,0.79227,66686
2017.07.25,0.79228,0.79695,0.79019,0.79352,63730
2017.07.26,0.79355,0.8013,0.78773,0.80036,76914
2017.07.27,0.80036,0.80648,0.79556,0.79651,80123
2017.07.28,0.79649,0.80066,0.79362,0.79856,77758
2017.07.31,0.79739,0.80028,0.79553,0.80005,68379
2017.08.01,0.80007,0.8042,0.796,0.79674,75950
2017.08.02,0.79672,0.79922,0.79407,0.7963,69226
2017.08.03,0.79636,0.7968,0.79134,0.79464,69682
2017.08.04,0.79465,0.79789,0.78907,0.79242,69813
2017.08.07,0.79182,0.79478,0.78983,0.79103,65024
2017.08.08,0.79103,0.79421,0.78892,0.79112,63400
2017.08.09,0.79108,0.79139,0.78544,0.78858,73324
2017.08.10,0.78858,0.79099,0.78658,0.78733,69352
2017.08.11,0.78737,0.79086,0.78382,0.78929,69267
2017.08.14,0.78915,0.79182,0.7844,0.78498,63770
2017.08.15,0.78499,0.78758,0.78072,0.78191,59110
2017.08.16,0.78188,0.79331,0.78158,0.79235,64464
2017.08.17,0.79235,0.7962,0.78795,0.78843,67743
2017.08.18,0.78842,0.79394,0.78688,0.79272,63160
2017.08.21,0.79269,0.79499,0.791,0.79381,50121
2017.08.22,0.79374,0.79501,0.7897,0.79089,56313
2017.08.23,0.79091,0.79167,0.78815,0.79017,64320
2017.08.24,0.79017,0.79152,0.78659,0.7898,63137
2017.08.25,0.78977,0.7953,0.78845,0.79309,64237
2017.08.28,0.79228,0.79724,0.79208,0.79614,61354
2017.08.29,0.79614,0.79822,0.79078,0.79462,72268
2017.08.30,0.79462,0.79949,0.78894,0.7903,72917
2017.08.31,0.79028,0.79491,0.78719,0.79456,78610
2017.09.01,0.79456,0.79924,0.79209,0.79671,66085
2017.09.04,0.79458,0.7972,0.79403,0.7942,80300
2017.09.05,0.79406,0.80274,0.79401,0.79951,87133
2017.09.06,0.7995,0.80198,0.79627,0.79978,75977
2017.09.07,0.79977,0.80478,0.79737,0.80453,68563
2017.09.08,0.80454,0.81163,0.8042,0.80516,72463
2017.09.11,0.80533,0.80575,0.8018,0.80265,69741
2017.09.12,0.80261,0.80483,0.79976,0.80148,72490
2017.09.13,0.80155,0.80434,0.79722,0.79838,70408
2017.09.14,0.79838,0.80153,0.79605,0.80017,71002
2017.09.15,0.80017,0.80291,0.79858,0.79993,67132
2017.09.18,0.79958,0.80345,0.79391,0.79582,67454
2017.09.19,0.79575,0.80192,0.79547,0.80079,72151
2017.09.20,0.80078,0.80868,0.79882,0.80304,72420
2017.09.21,0.80304,0.80354,0.79162,0.79305,77466
2017.09.22,0.79265,0.79856,0.79073,0.79598,68171
2017.09.25,0.79496,0.79729,0.79255,0.79351,48064
2017.09.26,0.79351,0.7948,0.78612,0.78839,72242
2017.09.27,0.7884,0.78877,0.78355,0.78469,73347
2017.09.28,0.7847,0.78594,0.77989,0.78551,71708
2017.09.29,0.78551,0.78562,0.7816,0.78336,60410
2017.10.02,0.78284,0.78467,0.77946,0.78247,62710
2017.10.03,0.78247,0.78378,0.77911,0.78333,61366
2017.10.04,0.78333,0.78743,0.78291,0.78614,67817
2017.10.05,0.78624,0.78645,0.77859,0.77935,65613
2017.10.06,0.77935,0.77975,0.77323,0.77749,67909
2017.10.09,0.77689,0.77815,0.77468,0.77517,51762
2017.10.10,0.77517,0.77961,0.77486,0.77765,66335
2017.10.11,0.77765,0.78082,0.77701,0.77866,69298
2017.10.12,0.77865,0.7835,0.77818,0.78183,70696
2017.10.13,0.78183,0.78963,0.7814,0.78884,67024
